date,rain,tg,sm,sp,fl
3/27/1979,1.696832469,2.923084949,417.0988083,82.78039224,18.27
3/28/1979,8.351860729,4.613278071,423.4956816,76.17360331,18.11
3/29/1979,17.96609471,5.5805359,433.2117058,71.93516625,22.39
3/30/1979,3.070079251,4.326549067,433.798066,73.34892591,29.55
3/31/1979,0.652878954,1.346398331,433.2708916,74.6110211,27
4/1/1979,0.204631818,0.443052609,432.5298458,74.69295406,23.48
4/2/1979,0.042664572,0.873472569,431.9595606,73.16829746,19.95
4/3/1979,0,2.650207472,431.3216776,70.87556339,18.12
4/4/1979,0.816122915,3.200068341,431.4714198,67.94905723,16.92
4/5/1979,3.062651028,3.901693974,431.806969,69.07508637,16.33
4/6/1979,8.417778706,1.82345435,434.4820258,74.35475101,15.6
4/7/1979,1.666715333,1.134599971,434.551473,74.87535146,18.1
4/8/1979,0.014111728,1.941165214,433.528276,74.82557046,18.5
4/9/1979,0,1.253763072,432.2708452,74.38375392,17.28
4/10/1979,0,2.184200752,431.2103498,72.96884688,15.98
4/11/1979,0,3.380340875,430.099298,71.46502563,15.15
4/12/1979,0,3.715162718,429.3657357,68.79651328,14.5
4/13/1979,0,5.066054582,429.5704903,64.18792333,13.9
4/14/1979,0,7.212542836,430.4507219,57.3699872,13.91
4/15/1979,0.02199191,9.666848007,430.7819235,51.64405042,14.63
4/16/1979,0,8.830314894,430.5274299,47.08214721,15
4/17/1979,0.009663069,7.778357162,430.2465233,42.85506645,14.15
4/18/1979,0.117309975,7.538108291,428.943923,42.9715761,13.54
4/19/1979,0,1.091793223,427.6769293,42.9998184,12.97
4/20/1979,0,0.036874069,426.2945693,42.96469279,12.03
4/21/1979,0.173373304,1.775991171,425.4494954,41.34401817,11.45
4/22/1979,0.269625305,4.513585993,424.8672677,39.17484092,10.86
4/23/1979,0.045945319,5.154360586,424.4352839,35.2206928,10.33
4/24/1979,0.177751095,7.549157933,424.646685,30.76259,10.26
4/25/1979,17.26587565,8.651028653,433.6193425,27.62292048,11.89
4/26/1979,7.941326027,7.292649058,436.7313475,24.70319248,20.02
4/27/1979,4.416979266,7.519326409,437.8821059,22.54637433,20.34
4/28/1979,22.21256877,6.753041542,447.4267739,21.10964771,18.64
4/29/1979,9.375138696,5.865702728,450.1891079,20.60686319,20.92
4/30/1979,4.867944286,4.307772559,450.3983608,19.40835244,20.25
5/1/1979,5.509684977,6.096759096,451.7565595,18.96330741,24.13
5/2/1979,7.331125159,4.161183155,453.3567537,18.09782163,28.22
5/3/1979,3.478798147,5.410595262,453.6448832,19.04254313,34.46
5/4/1979,0.048398903,1.914809182,452.0001015,18.40146383,31.62
5/5/1979,9.952981996,4.267958758,454.4446998,17.67194841,26.19
5/6/1979,0.196581206,4.712517662,452.8993042,16.94415048,22.35
5/7/1979,0.036796875,5.500476012,451.1630072,15.95167497,19.37
5/8/1979,0.004945773,6.484066885,449.1969465,14.48242792,16.28
5/9/1979,0.308317715,7.912802941,447.9325143,13.33965063,14.75
5/10/1979,0.003081208,6.780271995,446.014516,11.91062479,13.91
5/11/1979,0,7.879278164,444.0035858,10.14808717,13.75
5/12/1979,0.041321801,9.16574612,441.9970847,8.369184617,13.11
5/13/1979,0,9.141774866,439.972869,6.426864326,11.94
5/14/1979,0,10.75130265,437.3831178,4.859518222,11.34
5/15/1979,0,11.14202086,434.2967062,3.161122773,11.04
5/16/1979,0,13.06507453,431.4285281,1.827287606,10.78
5/17/1979,0.014909665,14.34128709,428.1678141,0.766195309,10.51
5/18/1979,0,14.62486908,424.9035437,0.289119022,10.17
5/19/1979,0.009451497,14.63410471,421.4186428,0.134417018,9.93
5/20/1979,0.005958833,15.9586694,417.4503034,0.052758568,9.78
5/21/1979,3.70364107,17.7504801,415.6163589,0.002111977,9.45
5/22/1979,7.967930822,17.62152016,416.688735,0,9.04
5/23/1979,0.102571228,15.44962292,413.2695787,0,8.54
5/24/1979,0.101970296,16.5235495,410.2944142,0,8.09
5/25/1979,1.417791483,16.75311859,408.2616144,0,7.66
5/26/1979,2.365536089,16.01507083,406.574963,0,7.4
5/27/1979,0.003417986,15.10107693,403.127098,0,7.24
5/28/1979,2.951135476,15.86526032,402.8923082,0,7.6
5/29/1979,0,12.56266301,399.7303791,0,7.2
5/30/1979,0,13.73432969,395.9907751,0,6.65
5/31/1979,0,15.72744011,392.3770642,0,6.52
6/1/1979,0.061793606,17.62479352,388.4414289,0,6.29
6/2/1979,0.545116665,18.83094286,384.7500907,0,6.23
6/3/1979,0.2099639,18.84194935,381.2662359,0,6.17
6/4/1979,0.092144409,18.13735276,377.5971733,0,6.02
6/5/1979,0.124294863,18.29815573,374.3911083,0,5.81
6/6/1979,10.8141447,18.08001006,377.9159108,0,5.86
6/7/1979,3.357405034,18.01566556,376.7600407,0,6.93
6/8/1979,1.090313615,18.58861424,374.5656669,0,6.18
6/9/1979,0.65379188,15.74904595,371.8547765,0,5.58
6/10/1979,0.756829816,15.69194985,369.3543488,0,5.6
6/11/1979,0,16.47464447,365.7231313,0,5.26
6/12/1979,8.577738557,17.98337228,369.1995472,0,4.99
6/13/1979,0.093410107,16.30882578,366.2375225,0,5.93
6/14/1979,22.50085063,17.70747756,378.9395444,0,6.45
6/15/1979,0.285052758,13.77259032,376.5144051,0,6.91
6/16/1979,12.11944682,13.39367342,381.97393,0,6.48
6/17/1979,11.45771015,13.83426,386.8984506,0,9.24
6/18/1979,29.58397375,13.80252263,403.0027317,0,8.99
6/19/1979,1.362119239,13.44528538,400.6657148,0,13.31
6/20/1979,6.19516699,15.93138067,402.3770053,0,11.66
6/21/1979,4.609444159,14.11757589,402.892767,0,9.51
6/22/1979,0.056709898,12.46965678,400.4639148,0,8.73
6/23/1979,0.796059251,13.91387032,397.8945523,0,7.38
6/24/1979,1.308736368,16.46857269,395.2078275,0,6.8
6/25/1979,4.055676596,17.55957857,394.2949337,0,7.39
6/26/1979,1.387163124,18.03727751,391.9769444,0,7.39
6/27/1979,0.298157242,17.76311174,388.4070626,0,7.98
6/28/1979,9.218980426,19.56678382,391.2439627,0,6.72
6/29/1979,1.429895351,17.81454151,389.5239455,0,7.04
6/30/1979,0.316680076,16.22275185,386.6820491,0,6.65
7/1/1979,0.043960018,15.36057347,384.3861003,0,5.66
7/2/1979,1.942447943,12.19839753,383.2759982,0,5.33
7/3/1979,2.00440485,11.20477599,382.8507758,0,5.27
7/4/1979,4.314348638,12.01831001,383.8588042,0,6.25
7/5/1979,0.192417602,11.22757497,381.6636373,0,5.65
7/6/1979,0.294022466,11.78425948,379.178548,0,5.2
7/7/1979,0.66670815,13.02483214,377.8410333,0,4.99
7/8/1979,5.952083252,12.20616706,380.2141389,0,4.87
7/9/1979,0.770645287,10.75855234,378.6666661,0,4.94
7/10/1979,3.720268351,11.99925075,378.8329729,0,5.92
7/11/1979,0.000893396,12.06018832,376.3202181,0,5.79
