basin_id,long,lat,prop_rr,prop_tg,prop_sm,prop_sp,prop_mu,mag_ratio,mag_ttest_p,flood_com,flood_com_p,est_err
2770,9.52,51.97,0.579,0.0,0.921,0.316,0.711,1.616,0.0,0.132,0.0,7.648
2771,9.21,52.85,0.5,0.0,0.895,0.342,0.579,1.379,0.012,0.084,0.0,6.571
2772,9.44,51.65,0.579,0.0,0.895,0.421,0.763,1.503,0.002,0.084,0.0,6.912
2773,9.11,52.59,0.526,0.0,0.868,0.316,0.658,1.276,0.034,0.086,0.0,9.559
2774,8.92,52.25,0.5,0.0,0.816,0.289,0.5,1.514,0.0,0.139,0.0,7.661
2775,9.52,51.62,0.605,0.0,0.895,0.368,0.763,1.591,0.001,0.078,0.0,9.062
2776,8.62,51.04,0.846,0.462,0.667,0.436,0.846,1.423,0.042,0.128,0.0,-0.498
2777,9.64,50.6,0.718,0.308,0.692,0.308,0.744,1.044,0.42,0.099,0.0,-19.595
2778,9.97,51.38,0.486,0.108,0.676,0.189,0.486,1.556,0.022,0.075,0.0,-53.74
2779,9.94,51.41,0.486,0.0,0.703,0.324,0.514,2.11,0.003,0.109,0.0,-50.284
2780,9.97,51.38,0.459,0.216,0.811,0.189,0.622,2.03,0.004,0.071,0.0,-43.572
2781,8.9,52.6,0.676,0.351,0.892,0.108,0.865,1.409,0.088,0.132,0.0,-9.39
2782,10.95,52.45,0.486,0.324,0.514,0.189,0.486,1.724,0.002,0.113,0.0,-3.43
2783,8.67,52.13,0.769,0.385,0.769,0.077,0.769,1.379,0.013,0.125,0.0,-19.046
2784,10.25,51.65,0.811,0.351,0.486,0.568,0.73,1.451,0.017,0.19,0.0,-22.416
2785,9.28,50.85,0.622,0.081,0.73,0.243,0.622,1.206,0.07,0.118,0.0,-18.863
2786,9.33,51.08,0.568,0.297,0.73,0.27,0.676,1.495,0.002,0.123,0.0,-17.206
2787,10.42,50.57,0.718,0.026,0.744,0.564,0.769,1.602,0.007,0.174,0.0,-4.139
2788,6.47,51.83,0.882,0.324,0.794,0.0,0.794,1.047,0.374,0.071,0.0,-9.219
2789,7.24,52.74,0.75,0.083,0.944,0.111,0.861,1.614,0.027,0.118,0.0,-11.295
2790,7.25,52.6,0.795,0.179,0.949,0.051,0.872,1.577,0.018,0.13,0.0,-0.629
2791,7.6,52.09,0.784,0.351,0.838,0.108,0.757,1.156,0.203,0.103,0.0,-17.073
2792,7.43,52.29,0.846,0.308,0.949,0.103,0.897,1.494,0.042,0.11,0.0,-2.4
2793,7.24,52.73,0.737,0.105,0.974,0.079,0.868,1.6,0.027,0.117,0.0,-11.83
2794,7.9,51.97,0.694,0.194,0.861,0.056,0.778,1.203,0.092,0.094,0.0,-4.489
2795,7.35,52.69,0.514,0.054,0.892,0.0,0.595,1.166,0.091,0.078,0.0,-19.899
2796,7.6,52.68,0.763,0.237,0.895,0.0,0.763,1.458,0.002,0.123,0.0,-6.198
2797,7.84,52.72,0.838,0.27,0.865,0.0,0.865,1.43,0.007,0.141,0.0,-14.225
2798,8.0,52.31,0.811,0.189,0.703,0.027,0.676,0.826,0.885,0.114,0.0,-22.854
2799,6.86,52.6,0.649,0.108,0.892,0.0,0.676,1.19,0.104,0.149,0.0,-6.05
2800,6.97,52.5,0.73,0.216,0.919,0.0,0.811,1.097,0.284,0.127,0.0,-3.836
2801,6.77,52.08,0.895,0.184,0.816,0.0,0.789,1.214,0.105,0.111,0.0,-5.028
2802,9.17,53.34,0.703,0.162,0.622,0.108,0.595,1.088,0.305,0.114,0.0,-13.868
2803,9.71,53.39,0.618,0.294,0.647,0.118,0.5,1.18,0.177,0.093,0.0,-41.505
2804,10.46,53.15,0.538,0.205,0.513,0.231,0.462,1.352,0.007,0.083,0.0,-6.209
2805,10.85,53.42,0.538,0.231,0.769,0.179,0.615,1.295,0.028,0.087,0.0,-7.098
2806,13.74,51.06,0.333,0.0,0.744,0.538,0.615,1.215,0.186,0.091,0.0,-26.943
2807,12.65,51.86,0.41,0.0,0.769,0.385,0.59,1.482,0.024,0.071,0.0,-28.983
2808,11.88,51.99,0.205,0.0,0.769,0.385,0.385,1.595,0.004,0.047,0.0,-23.061
2809,11.98,52.55,0.308,0.0,0.744,0.359,0.462,1.375,0.018,0.044,0.0,-23.834
2810,12.06,51.86,0.308,0.0,0.744,0.333,0.462,1.553,0.008,0.042,0.0,-28.889
2811,11.64,52.14,0.282,0.0,0.744,0.256,0.436,1.579,0.004,0.08,0.0,-22.755
2812,13.01,51.56,0.256,0.0,0.846,0.462,0.513,1.489,0.027,0.081,0.0,-23.698
2813,11.68,51.23,0.528,0.028,0.639,0.389,0.5,1.265,0.025,0.066,0.0,-4.326
2814,10.09,53.66,0.811,0.081,0.595,0.135,0.676,0.955,0.623,0.115,0.0,-22.319
2815,10.01,53.39,0.722,0.389,0.417,0.028,0.5,1.199,0.047,0.091,0.0,-18.139
2816,10.89,51.26,0.444,0.083,0.75,0.417,0.583,2.264,0.009,0.124,0.0,-22.489
2817,11.81,51.92,0.462,0.0,0.667,0.462,0.538,1.746,0.0,0.081,0.0,-12.529
2818,11.95,51.6,0.564,0.0,0.615,0.359,0.513,1.892,0.0,0.101,0.0,-25.181
2819,11.33,50.72,0.595,0.0,0.865,0.432,0.73,1.653,0.011,0.147,0.0,5.812
2820,11.91,50.32,0.641,0.256,0.744,0.436,0.769,1.787,0.025,0.143,0.0,-19.256
2821,10.78,51.51,0.757,0.162,0.757,0.432,0.73,1.576,0.014,0.144,0.0,4.471
2822,11.58,51.07,0.649,0.0,0.622,0.405,0.568,1.615,0.029,0.099,0.0,-9.92
2823,11.54,50.77,0.622,0.027,0.568,0.297,0.541,1.484,0.031,0.081,0.0,-11.435
2824,11.43,50.62,0.595,0.027,0.838,0.595,0.784,1.719,0.037,0.142,0.0,-9.715
2825,11.75,50.57,0.556,0.167,0.722,0.417,0.722,1.385,0.09,0.061,0.0,-21.316
2826,12.43,51.38,0.744,0.051,0.59,0.205,0.538,1.572,0.039,0.072,0.0,27.86
2827,12.06,50.77,0.639,0.028,0.667,0.306,0.583,1.508,0.034,0.107,0.0,-31.098
2828,12.39,51.2,0.564,0.154,0.641,0.308,0.487,1.781,0.0,0.13,0.0,-3.121
2829,12.43,50.89,0.6,0.04,0.6,0.2,0.4,2.146,0.045,0.146,0.0,-52.576
2830,13.25,51.31,0.579,0.316,0.474,0.263,0.5,1.369,0.134,0.107,0.0,-36.851
2831,13.77,50.84,0.579,0.0,0.711,0.342,0.553,1.129,0.371,0.117,0.0,-53.699
2832,13.99,51.02,0.487,0.282,0.615,0.359,0.615,1.549,0.031,0.119,0.0,11.223
2833,14.13,50.94,0.632,0.026,0.632,0.395,0.553,1.222,0.139,0.125,0.0,15.499
2834,13.77,51.2,0.487,0.103,0.769,0.333,0.538,1.949,0.003,0.14,0.0,-22.278
2835,12.35,52.61,0.077,0.359,0.949,0.0,0.41,1.007,0.475,0.006,0.027,-4.159
2836,12.85,52.48,0.231,0.385,0.872,0.051,0.436,1.025,0.369,0.041,0.0,-5.019
2837,12.58,51.59,0.513,0.0,0.564,0.436,0.487,1.299,0.177,0.139,0.0,-56.285
